Stazione, Milano - via Senato
-999 Valore mancante o invalido

Data/Ora, Particelle sospese PM2.5 - µg/m³
2015/01/01,54
2015/01/02,61
2015/01/03,66
2015/01/04,42
2015/01/05,23
2015/01/06,45
2015/01/07,75
2015/01/08,61
2015/01/09,66
2015/01/10,41
2015/01/11,60
2015/01/12,22
2015/01/13,54
2015/01/14,-999
2015/01/15,63
2015/01/16,61
2015/01/17,25
2015/01/18,27
2015/01/19,42
2015/01/20,-999
2015/01/21,33
2015/01/22,26
2015/01/23,34
2015/01/24,47
2015/01/25,8
2015/01/26,20
2015/01/27,57
2015/01/28,42
2015/01/29,49
2015/01/30,31
2015/01/31,31
2015/02/01,43
2015/02/02,29
2015/02/03,48
2015/02/04,37
2015/02/05,11
2015/02/06,17
2015/02/07,20
2015/02/08,31
2015/02/09,44
2015/02/10,76
2015/02/11,88
2015/02/12,113
2015/02/13,113
2015/02/14,47
2015/02/15,16
2015/02/16,18
2015/02/17,40
2015/02/18,44
2015/02/19,66
2015/02/20,63
2015/02/21,52
2015/02/22,13
2015/02/23,34
2015/02/24,18
2015/02/25,9
2015/02/26,18
2015/02/27,37
2015/02/28,47
2015/03/01,45
2015/03/02,31
2015/03/03,26
2015/03/04,43
2015/03/05,10
2015/03/06,14
2015/03/07,19
2015/03/08,38
2015/03/09,38
2015/03/10,58
2015/03/11,75
2015/03/12,31
2015/03/13,36
2015/03/14,31
2015/03/15,32
2015/03/16,29
2015/03/17,28
2015/03/18,44
2015/03/19,65
2015/03/20,41
2015/03/21,43
2015/03/22,30
2015/03/23,-999
2015/03/24,-999
2015/03/25,33
2015/03/26,24
2015/03/27,19
2015/03/28,20
2015/03/29,28
2015/03/30,9
2015/03/31,16
