Stazione, Brescia - ModAria
-999 Valore mancante o invalido

Data/Ora, Particelle sospese PM2.5 - µg/m³
2016/01/01,62
2016/01/02,61
2016/01/03,35
2016/01/04,37
2016/01/05,40
2016/01/06,29
2016/01/07,38
2016/01/08,42
2016/01/09,55
2016/01/10,40
2016/01/11,34
2016/01/12,28
2016/01/13,18
2016/01/14,26
2016/01/15,27
2016/01/16,21
2016/01/17,10
2016/01/18,48
2016/01/19,24
2016/01/20,41
2016/01/21,49
2016/01/22,54
2016/01/23,70
2016/01/24,65
2016/01/25,67
2016/01/26,44
2016/01/27,55
2016/01/28,76
2016/01/29,72
2016/01/30,101
2016/01/31,76
2016/02/01,51
2016/02/02,82
2016/02/03,35
2016/02/04,19
2016/02/05,22
2016/02/06,36
2016/02/07,13
2016/02/08,28
2016/02/09,24
2016/02/10,10
2016/02/11,14
2016/02/12,20
2016/02/13,38
2016/02/14,34
2016/02/15,20
2016/02/16,26
2016/02/17,17
2016/02/18,23
2016/02/19,24
2016/02/20,22
2016/02/21,28
2016/02/22,55
2016/02/23,52
2016/02/24,15
2016/02/25,17
2016/02/26,26
2016/02/27,12
2016/02/28,5
2016/02/29,5
2016/03/01,17
2016/03/02,24
2016/03/03,11
2016/03/04,18
2016/03/05,10
2016/03/06,26
2016/03/07,56
2016/03/08,22
2016/03/09,27
2016/03/10,30
2016/03/11,26
2016/03/12,27
2016/03/13,23
2016/03/14,26
2016/03/15,26
2016/03/16,12
2016/03/17,25
2016/03/18,29
2016/03/19,28
2016/03/20,38
2016/03/21,27
2016/03/22,34
2016/03/23,18
2016/03/24,16
2016/03/25,21
2016/03/26,37
2016/03/27,39
2016/03/28,31
2016/03/29,22
2016/03/30,22
2016/03/31,27
