Stazione, Milano - ModAria
-999 Valore mancante o invalido

Data/Ora, Particelle sospese PM2.5 - µg/m³
2016/01/01,78
2016/01/02,48
2016/01/03,39
2016/01/04,40
2016/01/05,41
2016/01/06,38
2016/01/07,48
2016/01/08,55
2016/01/09,55
2016/01/10,44
2016/01/11,34
2016/01/12,30
2016/01/13,19
2016/01/14,33
2016/01/15,25
2016/01/16,21
2016/01/17,7
2016/01/18,27
2016/01/19,50
2016/01/20,62
2016/01/21,76
2016/01/22,93
2016/01/23,83
2016/01/24,97
2016/01/25,84
2016/01/26,51
2016/01/27,74
2016/01/28,85
2016/01/29,70
2016/01/30,114
2016/01/31,75
2016/02/01,46
2016/02/02,63
2016/02/03,31
2016/02/04,17
2016/02/05,31
2016/02/06,51
2016/02/07,42
2016/02/08,37
2016/02/09,33
2016/02/10,14
2016/02/11,26
2016/02/12,33
2016/02/13,45
2016/02/14,39
2016/02/15,35
2016/02/16,24
2016/02/17,31
2016/02/18,28
2016/02/19,34
2016/02/20,20
2016/02/21,24
2016/02/22,56
2016/02/23,63
2016/02/24,36
2016/02/25,25
2016/02/26,41
2016/02/27,17
2016/02/28,15
2016/02/29,12
2016/03/01,68
2016/03/02,41
2016/03/03,11
2016/03/04,24
2016/03/05,16
2016/03/06,29
2016/03/07,34
2016/03/08,34
2016/03/09,23
2016/03/10,33
2016/03/11,31
2016/03/12,33
2016/03/13,24
2016/03/14,22
2016/03/15,34
2016/03/16,14
2016/03/17,25
2016/03/18,29
2016/03/19,25
2016/03/20,20
2016/03/21,26
2016/03/22,43
2016/03/23,30
2016/03/24,32
2016/03/25,28
2016/03/26,38
2016/03/27,34
2016/03/28,26
2016/03/29,18
2016/03/30,21
2016/03/31,30
