Stazione, Varese - ModAria
-999 Valore mancante o invalido

Data/Ora, Particelle sospese PM2.5 - µg/m³
2016/01/01,79
2016/01/02,52
2016/01/03,43
2016/01/04,32
2016/01/05,43
2016/01/06,36
2016/01/07,31
2016/01/08,31
2016/01/09,43
2016/01/10,45
2016/01/11,28
2016/01/12,22
2016/01/13,17
2016/01/14,33
2016/01/15,14
2016/01/16,14
2016/01/17,14
2016/01/18,29
2016/01/19,40
2016/01/20,38
2016/01/21,36
2016/01/22,52
2016/01/23,41
2016/01/24,38
2016/01/25,29
2016/01/26,29
2016/01/27,34
2016/01/28,36
2016/01/29,33
2016/01/30,52
2016/01/31,34
2016/02/01,22
2016/02/02,36
2016/02/03,18
2016/02/04,15
2016/02/05,21
2016/02/06,57
2016/02/07,22
2016/02/08,29
2016/02/09,26
2016/02/10,12
2016/02/11,22
2016/02/12,32
2016/02/13,29
2016/02/14,35
2016/02/15,18
2016/02/16,21
2016/02/17,23
2016/02/18,26
2016/02/19,15
2016/02/20,24
2016/02/21,25
2016/02/22,31
2016/02/23,22
2016/02/24,18
2016/02/25,28
2016/02/26,31
2016/02/27,19
2016/02/28,13
2016/02/29,10
2016/03/01,5
2016/03/02,23
2016/03/03,2
2016/03/04,10
2016/03/05,13
2016/03/06,6
2016/03/07,8
2016/03/08,9
2016/03/09,10
2016/03/10,10
2016/03/11,20
2016/03/12,26
2016/03/13,19
2016/03/14,21
2016/03/15,19
2016/03/16,8
2016/03/17,15
2016/03/18,11
2016/03/19,14
2016/03/20,21
2016/03/21,21
2016/03/22,25
2016/03/23,19
2016/03/24,9
2016/03/25,34
2016/03/26,14
2016/03/27,28
2016/03/28,27
2016/03/29,16
2016/03/30,22
2016/03/31,26
