Stazione, Milano - Pascal Città Studi
-999 Valore mancante o invalido

Data/Ora, Particelle sospese PM2.5 - µg/m³
2018/01/01,33
2018/01/02,23
2018/01/03,23
2018/01/04,22
2018/01/05,44
2018/01/06,39
2018/01/07,35
2018/01/08,16
2018/01/09,15
2018/01/10,21
2018/01/11,33
2018/01/12,30
2018/01/13,38
2018/01/14,40
2018/01/15,49
2018/01/16,41
2018/01/17,-999
2018/01/18,22
2018/01/19,32
2018/01/20,47
2018/01/21,9
2018/01/22,25
2018/01/23,53
2018/01/24,51
2018/01/25,58
2018/01/26,70
2018/01/27,36
2018/01/28,29
2018/01/29,33
2018/01/30,23
2018/01/31,41
2018/02/01,26
2018/02/02,18
2018/02/03,17
2018/02/04,22
2018/02/05,18
2018/02/06,20
2018/02/07,19
2018/02/08,28
2018/02/09,21
2018/02/10,29
2018/02/11,40
2018/02/12,35
2018/02/13,14
2018/02/14,25
2018/02/15,36
2018/02/16,61
2018/02/17,70
2018/02/18,39
2018/02/19,16
2018/02/20,39
2018/02/21,34
2018/02/22,27
2018/02/23,20
2018/02/24,28
2018/02/25,16
2018/02/26,15
2018/02/27,22
2018/02/28,35
2018/03/01,51
2018/03/02,61
2018/03/03,36
2018/03/04,29
2018/03/05,44
2018/03/06,44
2018/03/07,35
2018/03/08,26
2018/03/09,20
2018/03/10,10
2018/03/11,17
2018/03/12,16
2018/03/13,24
2018/03/14,15
2018/03/15,18
2018/03/16,12
2018/03/17,13
2018/03/18,6
2018/03/19,7
2018/03/20,18
2018/03/21,20
2018/03/22,21
2018/03/23,32
2018/03/24,24
2018/03/25,20
2018/03/26,38
2018/03/27,34
2018/03/28,31
2018/03/29,40
2018/03/30,25
2018/03/31,9
